8.8.85 com.tencent.mobileqq 
11.5.5.8 com.tencent.qqmusic 
10.5.0 com.jingdong.app.mall 
10.1.6 com.Qunar 
10.61.12 com.dianping.v1 
7.33.0 com.xingin.xhs 
8.0.21 com.tencent.mm 
10.2.50.24743 com.smile.gifmaker 
5.22.1 com.xunmeng.pinduoduo 
10.2.59.6000 com.eg.android.AlipayGphone 
9.2.10 com.youdao.dict 
10.10.10 com.taobao.taobao 
13.5.6 com.qiyi.video 
5.2.7.32 com.dragon.read 
16.0.1 com.baidu.BaiduMap 
8.7.65 com.netease.cloudmusic 
87.9 com.netease.newsreader.activity 
11.20.205 com.sankuai.meituan 
9.5.8.0 com.mt.mtxx.mtxx 
10.5.60 com.meitu.meiyancamera 
8.5.80.26638 com.tencent.qqlive 
1.185.1.4 com.king.candycrushsaga
1.2.0_1565149_1627898 com.miHoYo.GenshinImpact
1.20.342.03.32 com.google.android.apps.docs.editors.docs
1.45.2 com.mxtech.videoplayer.ad
1.90.1 com.dts.freefireth
11.0.6.82 com.snapchat.android
160.0.0.0.25 com.instagram.android
2.22.7.74 com.whatsapp
2.6.2 com.kiloo.subwaysurf
20.9.0.100 com.amazon.mShop.android.shopping
2020.09.09-release com.soundcloud.android
208.8 com.strava
22.4.0.22040.Beta com.adobe.reader
22.5.0 com.life360.android.safetymapd
3.0.279.35947 com.amazon.avod.thirdpartyclient
39.01 com.discord
4.1.492 com.linkedin.android
4.2035.2 com.microsoft.office.outlook
4.45.01 com.foxnews.android
5.25.0.20082505 com.google.android.apps.magazines
6.11.3 com.yahoo.mobile.client.android.mail
8.18.8 com.flightradar24free
8.6.2 org.telegram.messenger.beta
8.61.0-release.00 com.twitter.android
8.62.0.85 com.skype.raider
8.7.20.1261 com.spotify.music
