8.9.50 com.tencent.mobileqq
12.2.0.8 com.tencent.qqmusic
11.8.0 com.jingdong.app.mall
10.1.21 com.Qunar
11.0.4 com.dianping.v1
7.83.0 com.xingin.xhs
8.0.34 com.tencent.mm
11.3.20.30458 com.smile.gifmaker
6.56.0 com.xunmeng.pinduoduo
10.3.70.8000 com.eg.android.AlipayGphone
9.2.54 com.youdao.dict
10.23.0 com.taobao.taobao
14.4.0 com.qiyi.video
5.7.5.32 com.dragon.read
18.2.0 com.baidu.BaiduMap
8.9.70 com.netease.cloudmusic
95.1 com.netease.newsreader.activity
12.9.203 com.sankuai.meituan
9.8.5.1 com.mt.mtxx.mtxx
11.3.30 com.meitu.meiyancamera
8.8.25.27213 com.tencent.qqlive
1.250.0.2 com.king.candycrushsaga
3.6.0_13833164_13951843 com.miHoYo.GenshinImpact
1.23.122.01.90 com.google.android.apps.docs.editors.docs
1.61.6 com.mxtech.videoplayer.ad
1.98.1 com.dts.freefireth
12.30.0.27 com.snapchat.android
278.0.0.21.117 com.instagram.android
2.23.7.78 com.whatsapp
3.10.1 com.kiloo.subwaysurf
26.8.0.100 com.amazon.mShop.android.shopping
2023.03.31-release com.soundcloud.android
302.9 com.strava
23.3.0.26648 com.adobe.reader
23.11.0 com.life360.android.safetymapd
3.0.343.84047 com.amazon.avod.thirdpartyclient
4.1.807 com.linkedin.android
4.2311.1 com.microsoft.office.outlook
4.59.0 com.foxnews.android
5.76.0.521508427 com.google.android.apps.magazines
7.12.1 com.yahoo.mobile.client.android.mail
9.3.0 com.flightradar24free
9.84.1-release.0 com.twitter.android
8.95.0.412 com.skype.raider
8.8.26.408 com.spotify.music
18.14.40 com.google.android.youtube
5.6.0.8 com.MobileTicket
29.0.3 com.zhiliaoapp.musically
9.3.100 com.meitu.meipaimv
8.93.0.588 com.tencent.weishi
101.0.522170771 com.google.android.dialer
5.52.51 com.google.android.apps.youtube.music
13.4.1 com.sina.weibo
11.6.0 com.kugou.android
9.0810.02 com.moji.mjweather
9.5.8 org.telegram.messenger
messages.android_20230328_01_RC01.phone_dynamic com.google.android.apps.messaging
409.0.0.27.106 com.facebook.katana
11.3.20.5411 com.kuaishou.nebula
11.75.0302 com.google.android.apps.maps
4.5.24.517943267 com.google.android.contacts
112.0.5615.47 com.android.chrome
